id,name,longitude,latitude
0105,105 Classroom Building,-82.342946,29.652976
L0033,800 Second,,
0201,"Academic 
Research 
Building",-82.343845,29.641172
0019,"Academic Advising
Center (AAC)",-82.345712,29.650069
0641,ACS Housing,-82.374251,29.640887
8416,Admin Office,-87.14149,30.7773
1232,Administration Bldg (Mlhpr),-82.416492,29.727093
7525,Administration Building,-82.17047,29.41001
4255,Administration/Laboratory,-80.37344,27.58712
7192,Ag Eng / Maint Facility,-81.7142,28.10178
7750,Ag Eng/Maintenance Facility,-81.4389,26.46183
0819,Agric Engineering Field Lab,-82.359489,29.628872
0825,Agric Engineering Field Lab,-82.35969,29.629465
7428,Agricultural Engineering/Maintenance Facility,-80.6337,26.66561
0338,Agro Field Lab,-82.355002,29.633502
0343,Agro Field Lab,-82.355113,29.633497
0909,Agronomy Field Lab (Bru),-82.268509,29.73931
0147,Agronomy Plant Intro Lab,-82.353674,29.627976
0658,Agronomy Plant Introduct. Lab,-82.353826,29.62831
0948,Agronomy Scale Shed (Bru),-82.269313,29.739396
0476,Alan and Cathy Hitchcock Field and Fork Pantry,-82.34475,29.647064
0464,Alcohol Storage Facility,,
0413,Alpha Chi Omega,-82.338893,29.6443
0409,Alpha Delta Pi,-82.338154,29.643904
0417,Alpha Epsilon Phi,-82.338832,29.643893
0431,Alpha Epsilon Pi,-82.355957,29.648201
G300,Alpha Gamma Rho,-82.35523,29.64464
0408,Alpha Omicron Pi,-82.338046,29.644244
3393,Alpha Tau Omega,-82.33886,29.649891
2329,Amelia Earhart Park,-80.27001,25.88248
0007,Anderson Hall,-82.341892,29.651585
0478,Animal Building,-82.351976,29.632574
1115,Animal Nutrition Walkway,-82.351703,29.630889
0119,Animal Sci Feed Storage (Bru),-82.264806,29.743939
0466,Animal Sci Physiology Barn,-82.353193,29.632786
0867,Animal Sci Security,-82.352408,29.632583
0628,"Animal Science 
Feeding Barn",-82.353373,29.632235
0627,Animal Science Hay Barn,-82.353124,29.633053
0483,Animal Science Preparation,-82.351975,29.632371
0547,Animal Science Storage,-82.351931,29.631038
0883,Animal Science Storage,-82.351867,29.633129
0459,Animal Sciences,-82.351807,29.631283
0499,"Animal Sciences 
Building",-82.351536,29.630707
0882,Animal Sciences Horse Barn,-82.352224,29.632982
0942,Animal Sciences Pole Barn,-82.352509,29.63235
7372,ANIMAL SHELTER (ZOO),-80.43282,27.42966
7373,ANIMAL SHELTER (ZOO),-80.43305,27.42964
7374,ANIMAL SHELTER (ZOO),-80.43302,27.42992
7375,ANIMAL SHELTER (ZOO),-80.43303,27.43015
8024,ANIMAL WORKING PENS,-85.18743,30.8715
8026,ANIMAL WORKING PENS,-85.18449,30.8691
3444,AOML,-80.16218,25.73473
5052,APIARY STORAGE BLDG,-80.24033,26.08333
7365,Aquaculture Research Center,-80.41418,27.433631
0120,"Aquatic Food Prod. 
Pilot Plant",-82.344039,29.647349
1379,Aquatic Pathobiology,-82.352967,29.637271
0461,Aquatic Products Lab,-82.343968,29.646907
2253,AQUATIC PRODUCTS LAB BUS SHELTER,,
0788,AQUATIC WEED SUPPORT FACILITY,-82.145,29.72
0544,Aquatic Weeds Annex (Mlhpr),-82.417026,29.727278
0460,Aquatic Weeds Res Ctr (Mlhpr),-82.417595,29.727286
3446,ARCHBOLD BIOLOGICAL STATION,-81.35171,27.18312
3383,Archer Family Health Care,-82.522377,29.530856
2028,Archer Road Self Storage,-82.411552,29.60252
0268,Architecture,-82.3417,29.647754
8025,Arena,-85.184301,30.870149
8025,ARENA,-85.18448,30.86944
3902,ARRIVAS HOUSE,-81.31333,29.89631
1194,Attendant Booth,-82.352203,29.648382
9213,AUDITORIUM,-83.42137,30.62172
9619,AUDITORIUM,-81.40189,27.33174
1630,Auxilary Library Facility,,
1630,Auxiliary Library Facility,-82.2887,29.683839
3260,Ayers Medical Plaza,-82.332635,29.650899
3260,Ayers Medical Plaza,,
1049,Baby Gator,-82.36052,29.645374
0452,BABY GATOR STORAGE,-82.343214,29.640885
1709,Ballpark Restroom and Bar,,
1365,Barn,-82.494534,29.923798
0747,Bartram Hall,-82.344496,29.643928
0206,Basic Science,-82.345703,29.640208
1169,"Basketball
Practice
Facility",-82.356192,29.649618
0084,Bat House 2,-82.362927,29.644234
0983,Baughman Meditation Center,-82.363555,29.642224
0752,Beaty Commons,-82.340584,29.644381
0750,Beaty Towers A,-82.340768,29.644103
0751,Beaty Towers B,-82.340245,29.644209
0965,Bee Support Building,-82.365678,29.634034
0965,Bee Support Building,,
0966,Bee Support Building Pavilion,-82.365534,29.634226
0966,Bee Support Building Pavilion,,
0891,Beef Teaching Facility Dorms,-82.354345,29.617726
7167,Ben Hill Griffin Citrus Hall,-81.711711,28.102422
0157,"Ben Hill Griffin
Stadium",-82.349405,29.65003
0721,Benton Hall,-82.347627,29.643411
0430,Beta Theta Pi,-82.356351,29.648161
0213,"Biomedical 
Sciences",-82.3457,29.640616
1040,Biotechnology #1,-82.47954,29.785728
1044,Biowaste Treatment Facility,-82.479914,29.786136
1371,Bivens Arm Research Complex,-82.357366,29.629914
0724,Black Hall,-82.347867,29.641923
0906,Blueberry Research Building,-82.36151,29.63911
0936,Boat Shelter,-82.356509,29.626567
1643,Boat Storage,,
1128,Brain Institute Bridge,-82.343456,29.641441
7204,Broodmare Barn,-82.167926,29.297873
1011,"Broward Dining 
Center",-82.34129,29.646983
0011,Broward Hall,-82.342085,29.646556
0759,Bruton-Geer  Hall,-82.359058,29.649213
0038,Bryant Space Science Center,-82.34572,29.648935
0015,Buckman Hall,-82.345003,29.650892
2254,"Bus Shelter at Newell Drive, Harrell Medical",,
1778,Bus Shelter at the HUB,,
1758,Bus Shelter Center Dr at Shepard Broad,-82.34628,29.64024
1776,Bus Shelter Radio Road at Counseling North,,
1312,Calf Barn (Hague),-82.410224,29.794724
1376,"Cancer/Genetics
Research Complex",-82.35159,29.638017
0022,"Carleton
Auditorium",-82.341669,29.649083
0748,Carr Hall,-82.344881,29.64386
0080,Catering Service Building,-82.354191,29.6519
0899,Cattle Handling Facility,-82.35256,29.622955
1604,CCE Faculty / Staff,-82.298826,29.672094
0470,"Center for Environmental 
& Human Tox",-82.353594,29.636636
0401,Center for Outdoor Recreation &  Education,-82.368965,29.63918
1383,Center Of Excellence,-82.471813,29.781398
0448,Century Tower,-82.343324,29.648816
0275,Chem/Chem Bio,-82.344433,29.651425
0958,"Chemical Engineering 
Student Center",-82.347849,29.642419
0545,Chemical Storage (Mlhpr),-82.417481,29.727389
0723,"Chemical
Engineering",-82.348001,29.642713
0028,Chemistry Laboratory,-82.344119,29.650898
0414,Chi Omega,-82.338057,29.644667
0419,Chi Phi,-82.354467,29.645249
3468,Childrens Oncology Group SDC & OBGYN OUTREACH,-82.406768,29.653096
0896,Clinical & Translational Sci Inst,-82.359896,29.632202
1375,"Clinical & Translational
Research Building",-82.34978,29.639884
0898,CLO INC. UNIT 5,-82.341465,29.653058
L0016,CMS B,-82.345017,29.634325
0571,Coastal Engineering Wave Tank,-82.330781,29.638575
0082,Cogeneration Plant,-82.348472,29.640094
0060,Communication/Extension Annex,-82.356833,29.639325
0203,Communicore,-82.34491,29.640874
0035,Computer Power Supply,-82.345543,29.649218
0042,Computer Sciences/Engineering,-82.344357,29.648313
0484,"Conference 
Center",-82.351277,29.632535
0078,Conferences and Institutes,-82.356411,29.637954
0687,Constans Theatre,-82.346612,29.646191
0280,Corry   Apartments,-82.362026,29.645575
0285,Corry   Apartments,-82.361502,29.645733
0279,Corry   Apartments,-82.36203,29.645969
0284,Corry   Apartments,-82.361508,29.646136
0289,Corry   Apartments,-82.36067,29.646077
0278,Corry   Apartments,-82.362037,29.64637
0283,Corry   Apartments,-82.361511,29.646526
0277,Corry   Apartments,-82.362039,29.646765
0282,Corry   Apartments,-82.361515,29.646933
0286,Corry   Apartments,-82.360758,29.647036
0281,Corry   Apartments,-82.361522,29.647321
0288,Corry   Apartments,-82.360783,29.647308
0287,Corry Village Commons,-82.360913,29.646395
0081,Counseling And Wellness,-82.369314,29.642461
1018,"Courtelis Equine 
Teaching Hospital",-82.349982,29.632375
1386,Cpa America International,-82.472188,29.782424
0031,Criser Hall,-82.341631,29.650177
0061,CSE Generator,-82.344737,29.648093
0048,Cwp #1 Weil Cooling Towers,-82.348552,29.647602
0086,Cypress Hall,-82.339807,29.645913
1027,"Dasburg
President`s
House",-82.360859,29.648165
0111,Dauer Hall,-82.345085,29.649958
0170,"Davis Cancer
Pavilion",-82.349642,29.637739
0919,Dehorning Facility (Hague),-82.417856,29.799612
0423,Delta Chi,-82.356914,29.64609
0411,Delta Delta Delta,-82.337059,29.644587
0407,Delta Gamma,-82.338955,29.64468
0657,Delta Phi Epsilon,-82.3362,29.643436
3317,Delta Tau Delta,-82.34869,29.652518
3388,Delta Upsilon,-82.346882,29.652489
0903,Delta Zeta,-82.339002,29.643396
0205,Dental Science,-82.345033,29.639504
0153,Development & Alumni Affairs,-82.349598,29.65248
0302,Diamond Apartments,-82.341954,29.642245
0306,Diamond Apartments,-82.341113,29.642232
0303,Diamond Apartments,-82.341155,29.642529
0304,Diamond Apartments,-82.340208,29.642688
0299,Diamond Apartments,-82.341347,29.642852
0300,Diamond Apartments,-82.34074,29.642875
0301,Diamond Apartments,-82.340087,29.642975
0296,Diamond Apartments,-82.341242,29.6432
0298,Diamond Apartments,-82.340048,29.643272
0297,Diamond Apartments,-82.340601,29.643245
0181,Dickinson Hall ,-82.344183,29.644396
1245,Dof Office/Div Of Forestry-Acmf,-82.216395,29.750286
3009,Doyle Conner Building,-82.371605,29.634703
3009,Doyle Conner Building,-82.371134,29.634954
3009,Doyle Conner Building,-82.370902,29.634674
3009,Doyle Conner Building,-82.370851,29.634479
3009,Doyle Conner Building,-82.370943,29.63448
3009,Doyle Conner Building,-82.371049,29.634481
3009,Doyle Conner Building,-82.371163,29.634506
3009,Doyle Conner Building,-82.371113,29.633674
3009,Doyle Conner Building,-82.371912,29.633698
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
3009,Doyle Conner Building,,
0905,Drying & Grinding Bldg (Bru),-82.268182,29.739295
0127,Earl and Christy Powell University House,-82.353994,29.651655
1642,East Campus Data Annex,,
1628,East Campus Office,-82.299446,29.672018
0592,East Hall,-82.350208,29.647323
1147,Eastside Clinic,-82.310125,29.655343
0137,"Education Bldg, Forestry-ACMF",-82.221014,29.732777
0683,EH&S Program Support,-82.367495,29.631131
0179,EHS,-82.34392,29.643534
1173,EHS Chamber,-82.36747,29.631668
1174,EHS Storage,-82.367468,29.63169
1177,EHS Storage,-82.367426,29.631673
0040,"EIO Generator, Bryant",-82.345526,29.649309
0668,Electronic Communications Lab,-82.367047,29.631105
0465,Elmore Hall ,-82.366151,29.64348
0261,Emerson Alumni Hall,-82.349065,29.652493
0033,Engineering Building,-82.347146,29.642294
1359,Ent Shadehouse S,-82.36646,29.633658
0946,Entomology Implement Shed,-82.356372,29.62741
0970,Entomology-Nematology,-82.366476,29.634654
1356,Environmental Hort Support,-82.353829,29.625522
1020,Equine Barn A,-82.349226,29.63182
1021,Equine Barn B,-82.349159,29.63161
1025,"Equine Sports 
Performance Arena",-82.349623,29.631439
0196,Equipment Storage,-82.265118,29.743568
0438,Equipment Storage,-82.416331,29.779923
0646,Equipment Storage,-82.26485,29.743424
1308,Equipment Storage,-82.494106,29.925935
1310,Equipment Storage,-82.495121,29.925784
0918,Equipment Storage,-82.264806,29.743939
0097,Equipment Storage,-82.355934,29.639277
7392,Equipment Storage (Ffa),-80.435958,27.42774
0629,Equipment Storage (Hague),-82.416301,29.776698
1343,Equipment Storage (Hague),-82.416737,29.77672
0761,Equipment Storage (Hague),-82.415997,29.779823
1396,Equipment Storage (Mlhpr),-82.415333,29.720799
1256,Equipment Storage (Mlhpr),-82.414678,29.72753
0479,Equipment Storage (Mlhpr),-82.418292,29.721253
0482,Equipment Storage (Mlhpr),-82.417358,29.724383
0873,Equipment Storage (Mlhpr),-82.416003,29.727353
0472,Equipment Storage (Mlhpr),-82.418343,29.721522
0957,Equipment Storage Building,-82.356528,29.627411
1246,"Equipment Storage, Forestry-Acmf",-82.216464,29.750165
0453,"Equipment Storage, Forestry-Acmf",-82.215648,29.74959
7343,Exotic/Aquatic Plant Quarantine ,-80.405592,27.426222
0057,Facilities Office,-82.356094,29.638045
0124,Facilities Office,-82.357281,29.639392
0705,"Facilities Serveices 
Central Stores",-82.369253,29.642962
0702,"Facilities Services 
Maintenance",-82.369234,29.644034
0700,"Facilities Services 
Offices",-82.370531,29.644312
0794,Facilities Services Storage #1,-82.367419,29.63291
0850,Facilities Services Storage #2,-82.367427,29.633019
2016,Farm Bureau,-82.367206,29.597593
7200,Farm Manager Residence,-82.16685,29.297623
0884,Farm Operations/Conference,-82.351906,29.622655
0854,Feed Barn (Hague),-82.414985,29.779275
1367,Feed Grain Bin,-82.494855,29.924614
0690,Feed Storage Building (Hague),-82.416497,29.778833
1280,Feeding Barn,-82.262743,29.745408
0828,Feeding Barn (Hague),-82.415633,29.779523
0500,Fiber Hut CSE,-82.34475,29.647064
1627,Fiber Hut Eastside ,,
0554,Field Bldg,-82.367193,29.631909
1339,Field Building (Forage),-82.410612,29.801975
0139,"Field Lab, Forestry-Acmf",-82.221057,29.73407
0143,"Field Lab/Storage, Forestry-Acmf",-82.221452,29.733138
0140,"Field Lab/Storage, Forestry-Acmf",-82.221517,29.733208
0926,"Field Lab/Tank, Forestry-Acmf",-82.227243,29.742883
8458,Field Research Support,-87.143053,30.774827
0829,Field Storage,-82.35964,29.629493
0648,Field Storage,-82.367974,29.633317
1239,Field Storage (Mlhpr),-82.417153,29.727532
0071,Field Support,-82.361016,29.633498
0583,Field Support (Mlhpr),-82.4193,29.72145
0717,Fifield Hall,-82.361146,29.638409
0597,Fine Arts A,-82.340605,29.648188
0598,Fine Arts B,-82.339796,29.64818
0599,Fine Arts C,-82.340436,29.647756
0269,Fine Arts D,-82.34017,29.648401
0404,Fire Pump House,-82.221442,29.732511
3052,Fl Caribbean Science Center,-82.418896,29.725839
3442,Fletcher Executive Center,-82.391194,29.658382
0134,Fletcher Hall,-82.345313,29.651377
0640,FLMNH Special Collections,-82.37007,29.63504
0901,Florida Ballpark Maintenance Building,,
1380,Florida Biologix,-82.471527,29.78067
0159,"Florida Field
North End Zone",-82.348623,29.650833
0155,"Florida Field
South End Zone",-82.348657,29.649161
